t = 0.000000, L = 0.314095, A = 0.007848
t = 0.010000, L = 0.318040, A = 0.007898
t = 0.020000, L = 0.320527, A = 0.007950
t = 0.030000, L = 0.322332, A = 0.008000
t = 0.040000, L = 0.325474, A = 0.008054
t = 0.050000, L = 0.328143, A = 0.008105
t = 0.060000, L = 0.330004, A = 0.008156
t = 0.070000, L = 0.334891, A = 0.008209
t = 0.080000, L = 0.336001, A = 0.008260
t = 0.090000, L = 0.337041, A = 0.008311
t = 0.100000, L = 0.338079, A = 0.008363
t = 0.110000, L = 0.339115, A = 0.008414
t = 0.120000, L = 0.340149, A = 0.008465
t = 0.130000, L = 0.341180, A = 0.008517
t = 0.140000, L = 0.342210, A = 0.008568
t = 0.150000, L = 0.343238, A = 0.008620
t = 0.160000, L = 0.344264, A = 0.008671
t = 0.170000, L = 0.345287, A = 0.008723
t = 0.180000, L = 0.346309, A = 0.008775
t = 0.190000, L = 0.347329, A = 0.008826
t = 0.200000, L = 0.348347, A = 0.008878
t = 0.210000, L = 0.349363, A = 0.008930
t = 0.220000, L = 0.350377, A = 0.008982
t = 0.230000, L = 0.351390, A = 0.009034
t = 0.240000, L = 0.352400, A = 0.009086
t = 0.250000, L = 0.353409, A = 0.009138
t = 0.260000, L = 0.354415, A = 0.009190
t = 0.270000, L = 0.355420, A = 0.009242
t = 0.280000, L = 0.356423, A = 0.009294
t = 0.290000, L = 0.357424, A = 0.009347
t = 0.300000, L = 0.358424, A = 0.009399
t = 0.310000, L = 0.359421, A = 0.009451
t = 0.320000, L = 0.360417, A = 0.009504
t = 0.330000, L = 0.361411, A = 0.009556
t = 0.340000, L = 0.362403, A = 0.009609
t = 0.350000, L = 0.363394, A = 0.009661
t = 0.360000, L = 0.364382, A = 0.009714
t = 0.370000, L = 0.365369, A = 0.009767
t = 0.380000, L = 0.366355, A = 0.009819
t = 0.390000, L = 0.367338, A = 0.009872
t = 0.400000, L = 0.368320, A = 0.009925
t = 0.410000, L = 0.369300, A = 0.009978
t = 0.420000, L = 0.370279, A = 0.010031
t = 0.430000, L = 0.371255, A = 0.010084
t = 0.440000, L = 0.372231, A = 0.010137
t = 0.450000, L = 0.373204, A = 0.010190
t = 0.460000, L = 0.374176, A = 0.010243
t = 0.470000, L = 0.375146, A = 0.010296
t = 0.480000, L = 0.376114, A = 0.010349
t = 0.490000, L = 0.377081, A = 0.010403
t = 0.500000, L = 0.378047, A = 0.010456
t = 0.510000, L = 0.379010, A = 0.010509
t = 0.520000, L = 0.379972, A = 0.010563
t = 0.530000, L = 0.380933, A = 0.010616
t = 0.540000, L = 0.381892, A = 0.010670
t = 0.550000, L = 0.382849, A = 0.010723
t = 0.560000, L = 0.383805, A = 0.010777
t = 0.570000, L = 0.384759, A = 0.010830
t = 0.580000, L = 0.385712, A = 0.010884
t = 0.590000, L = 0.386663, A = 0.010938
t = 0.600000, L = 0.387613, A = 0.010992
t = 0.610000, L = 0.388561, A = 0.011045
t = 0.620000, L = 0.389508, A = 0.011099
t = 0.630000, L = 0.390453, A = 0.011153
t = 0.640000, L = 0.391397, A = 0.011207
t = 0.650000, L = 0.392339, A = 0.011261
t = 0.660000, L = 0.393279, A = 0.011315
t = 0.670000, L = 0.394219, A = 0.011369
t = 0.680000, L = 0.395156, A = 0.011423
t = 0.690000, L = 0.396093, A = 0.011478
t = 0.700000, L = 0.397028, A = 0.011532
t = 0.710000, L = 0.397961, A = 0.011586
t = 0.720000, L = 0.398893, A = 0.011640
t = 0.730000, L = 0.399824, A = 0.011695
t = 0.740000, L = 0.400753, A = 0.011749
t = 0.750000, L = 0.401680, A = 0.011804
t = 0.760000, L = 0.402607, A = 0.011858
t = 0.770000, L = 0.403532, A = 0.011913
t = 0.780000, L = 0.404455, A = 0.011967
t = 0.790000, L = 0.405377, A = 0.012022
t = 0.800000, L = 0.406298, A = 0.012076
t = 0.810000, L = 0.407218, A = 0.012131
t = 0.820000, L = 0.408136, A = 0.012186
t = 0.830000, L = 0.409053, A = 0.012241
t = 0.840000, L = 0.409968, A = 0.012295
t = 0.850000, L = 0.410882, A = 0.012350
t = 0.860000, L = 0.411795, A = 0.012405
t = 0.870000, L = 0.412706, A = 0.012460
t = 0.880000, L = 0.413616, A = 0.012515
t = 0.890000, L = 0.414525, A = 0.012570
t = 0.900000, L = 0.415432, A = 0.012625
t = 0.910000, L = 0.416338, A = 0.012680
t = 0.920000, L = 0.417243, A = 0.012736
t = 0.930000, L = 0.418147, A = 0.012791
t = 0.940000, L = 0.419049, A = 0.012846
t = 0.950000, L = 0.419950, A = 0.012901
t = 0.960000, L = 0.420850, A = 0.012957
t = 0.970000, L = 0.421748, A = 0.013012
t = 0.980000, L = 0.422646, A = 0.013067
t = 0.990000, L = 0.423542, A = 0.013123
t = 1.000000, L = 0.424436, A = 0.013178
t = 1.010000, L = 0.425330, A = 0.013234
t = 1.020000, L = 0.426222, A = 0.013289
t = 1.030000, L = 0.427113, A = 0.013345
